usia,qx,lx,dx,Dx,Cx,Nx,Mx
0,0.00266,100000,266,100000,250.9433962,1736895.762,1685.145528
1,0.00041,99734,40.89094,94088.67925,36.39279103,1636895.762,1434.202132
2,0.00031,99693.10906,30.90486381,88726.51216,25.94831959,1542807.083,1397.809341
3,0.00024,99662.2042,23.91892901,83678.30843,18.9460321,1454080.571,1371.861021
4,0.00021,99638.28527,20.92403991,78922.85438,15.63565983,1370402.262,1352.914989
5,0.0002,99617.36123,19.92347225,74439.88734,14.04526176,1291479.408,1337.27933
6,0.00022,99597.43776,21.91143631,70212.26355,14.57235659,1217039.521,1323.234068
7,0.00023,99575.52632,22.90237105,66223.41212,14.36923093,1146827.257,1308.661711
8,0.00022,99552.62395,21.90157727,62460.54786,12.96350993,1080603.845,1294.29248
9,0.00021,99530.72237,20.9014517,58912.08165,11.67126146,1018143.297,1281.32897
10,0.00019,99509.82092,18.90686597,55565.76425,9.95990114,959231.2156,1269.657709
11,0.00018,99490.91405,17.90836453,52410.57241,8.899908523,903665.4514,1259.697808
12,0.0002,99473.00569,19.89460114,49435.03633,9.327365345,851254.8789,1250.797899
13,0.00022,99453.11109,21.87968444,46627.49936,9.677405528,801819.8426,1241.470534
14,0.00023,99431.2314,22.86918322,43978.52954,9.542511126,755192.3433,1231.793128
15,0.00023,99408.36222,22.86392331,41479.6363,9.000298442,711213.8137,1222.250617
16,0.00024,99385.4983,23.85251959,39122.73206,8.85797707,669734.1774,1213.250319
17,0.00024,99361.64578,23.84679499,36899.37981,8.354576562,630611.4454,1204.392342
18,0.00025,99337.79898,24.83444975,34802.3811,8.208108749,593712.0655,1196.037765
19,0.00026,99312.96453,25.82137078,32824.22689,8.051225463,558909.6844,1187.829656
20,0.00027,99287.14316,26.80752865,30958.20056,7.885579387,526085.4576,1179.778431
21,0.00028,99260.33563,27.79289398,29197.964,7.712669736,495127.257,1171.892852
22,0.0003,99232.54274,29.76976282,27537.53639,7.793642374,465929.293,1164.180182
23,0.00032,99202.77298,31.74488735,25971.01427,7.840306195,438391.7566,1156.386539
24,0.00034,99171.02809,33.71814955,24493.11655,7.856282668,412420.7423,1148.546233
25,0.00038,99137.30994,37.67217778,23098.85745,8.280722481,387927.6258,1140.689951
26,0.00042,99099.63776,41.62184786,21783.09423,8.631037336,364828.7683,1132.409228
27,0.00046,99058.01591,45.56668732,20541.45786,8.914217561,343045.6741,1123.778191
28,0.00049,99012.44923,48.51610012,19369.81961,8.953973216,322504.2162,1114.863973
29,0.00052,98963.93313,51.46124523,18264.46075,8.959924143,303134.3966,1105.91
30,0.00056,98912.47188,55.39098425,17221.66343,9.098237283,284869.9359,1096.950076
31,0.0006,98857.0809,59.31424854,16237.75405,9.191181539,267648.2725,1087.851839
32,0.00064,98797.76665,63.23057065,15309.44472,9.24343832,251410.5184,1078.660657
33,0.00069,98734.53608,68.12682989,14433.62894,9.39547544,236101.0737,1069.417219
34,0.00074,98666.40925,73.01314284,13607.2356,9.499390888,221667.4447,1060.021743
35,0.0008,98593.3961,78.87471688,12827.51532,9.68114364,208060.2092,1050.522352
36,0.00086,98514.52139,84.72248839,12091.74841,9.810286443,195232.6938,1040.841209
37,0.00093,98429.7989,91.53971298,11397.49953,9.999692985,183140.9454,1031.030922
38,0.001,98338.25919,98.33825919,10742.35836,10.13430034,171743.4459,1021.031229
39,0.00108,98239.92093,106.0991146,10124.16603,10.31518804,161001.0875,1010.896929
40,0.00118,98133.82181,115.7979097,9540.784845,10.6208737,150876.9215,1000.581741
41,0.00128,98018.0239,125.4630706,8990.119546,10.85599341,141336.1367,989.9608672
42,0.00141,97892.56083,138.0285108,8470.388861,11.26721537,132346.0171,979.1048738
43,0.00154,97754.53232,150.5419798,7979.665673,11.59309918,123875.6282,967.8376584
44,0.00169,97603.99034,164.9507437,7516.393384,11.98368379,115895.9626,956.2445593
45,0.00187,97439.0396,182.211004,7078.953471,12.48834244,108379.5692,944.2608755
46,0.00209,97256.82859,203.2667718,6665.769649,13.14288544,101300.6157,931.772533
47,0.0023,97053.56182,223.2231922,6275.319048,13.61625831,94634.84607,918.6296476
48,0.00253,96830.33863,244.9807567,5906.496051,14.0975802,88359.52702,905.0133893
49,0.00277,96585.35787,267.5414413,5558.068506,14.52438657,82453.03097,890.9158091
50,0.00305,96317.81643,293.7693401,5228.936468,15.04552474,76894.96247,876.3914225
51,0.00335,96024.04709,321.6805578,4917.913407,15.54246218,71666.026,861.3458978
52,0.00368,95702.36653,352.1847088,4623.998488,16.05312683,66748.11259,845.8034356
53,0.00403,95350.18182,384.2612328,4346.209598,16.52379687,62124.1141,829.7503088
54,0.00442,94965.92059,419.749369,4083.673937,17.02814981,57777.90451,813.2265119
55,0.00483,94546.17122,456.658007,3835.494432,17.4768284,53694.23057,796.1983621
56,0.00524,94089.51322,493.0290493,3600.914145,17.8007454,49858.73614,778.7215337
57,0.00563,93596.48417,526.9482059,3379.288071,17.94848287,46257.82199,760.9207883
58,0.00601,93069.53596,559.3479111,3170.059131,17.97363715,42878.53392,742.9723054
59,0.00636,92510.18805,588.364796,2972.648185,17.83588911,39708.47479,724.9986683
60,0.00671,91921.82325,616.795434,2786.549191,17.63938214,36735.82661,707.1627792
61,0.00707,91305.02782,645.5265467,2611.180609,17.41608199,33949.27742,689.523397
62,0.00746,90659.50127,676.3198795,2445.961851,17.21403341,31338.09681,672.107315
63,0.00788,89983.18139,709.0674694,2290.297147,17.02598256,28892.13495,654.8932816
64,0.00833,89274.11392,743.653369,2143.631703,16.84570952,26601.83781,637.8672991
65,0.00883,88530.46056,781.7239667,2005.44835,16.70576314,24458.2061,621.0215895
66,0.0094,87748.73659,824.8381239,1875.226643,16.62936834,22452.75775,604.3158264
67,0.01005,86923.89846,873.5851796,1752.45237,16.61523238,20577.53111,587.6864581
68,0.01076,86050.31329,925.9013709,1636.64172,16.61345746,18825.07874,571.0712257
69,0.0115,85124.41191,978.930737,1527.388166,16.57072066,17188.43702,554.4577682
70,0.01229,84145.48118,1034.147964,1424.361511,16.5145311,15661.04886,537.8870475
71,0.01314,83111.33321,1092.082918,1327.222743,16.45255363,14236.68734,521.3725164
72,0.01406,82019.25029,1153.190659,1235.644374,16.38977349,12909.4646,504.9199628
73,0.01508,80866.05964,1219.460179,1149.312466,16.35059622,11673.82023,488.5301893
74,0.0162,79646.59946,1290.274911,1067.906447,16.32083439,10524.50776,472.1795931
75,0.01743,78356.32455,1365.750737,991.1380783,16.29767614,9456.601313,455.8587587
76,0.01879,76990.57381,1446.652882,918.7382468,16.28593553,8465.463235,439.5610826
77,0.0203,75543.92093,1533.541595,850.4482596,16.28688648,7546.724988,423.2751471
78,0.02326,74010.37933,1721.481423,786.0227924,17.24800958,6696.276728,406.9882606
79,0.0288,72288.89791,2081.92026,724.2829266,19.67863046,5910.253936,389.740251
80,0.03569,70206.97765,2505.687032,663.6071494,22.34352751,5185.971009,370.0616205
81,0.04208,67701.29062,2848.870309,603.700953,23.96578878,4522.36386,347.718093
82,0.04907,64852.42031,3182.308264,545.5634122,25.25546852,3918.662907,323.7523042
83,0.0552,61670.11204,3404.190185,489.4269958,25.48714167,3373.099495,298.4968357
84,0.06086,58265.92186,3546.064004,436.2364393,25.04655632,2883.672499,273.0096941
85,0.06715,54719.85785,3674.438455,386.4972543,24.48423644,2447.43606,247.9631377
86,0.07318,51045.4194,3735.503792,340.1358148,23.48220654,2060.938805,223.4789013
87,0.08155,47309.91561,3858.123618,297.4006376,22.88020943,1720.802991,199.9966948
88,0.09045,43451.79199,3930.214585,257.6864298,21.98843168,1423.402353,177.1164853
89,0.10001,39521.5774,3952.552956,221.1119738,20.86170613,1165.715923,155.1280537
90,0.10913,35569.02445,3881.647638,187.7344956,19.32779764,944.6039492,134.2663475
91,0.11521,31687.37681,3650.702682,157.7802171,17.1489234,756.8694536,114.9385499
92,0.12499,28036.67413,3504.303899,131.700338,15.52945778,599.0892366,97.78962647
93,0.13826,24532.37023,3391.845508,108.7161441,14.18027744,467.3888986,82.26016869
94,0.15451,21140.52472,3266.422475,88.38212265,12.88294507,358.6727545,68.07989126
95,0.17429,17874.10225,3115.27728,70.49641592,11.59133993,270.2906319,55.19694619
96,0.19155,14758.82497,2827.052922,54.91471282,9.923503057,199.7942159,43.60560626
97,0.20596,11931.77204,2457.46777,41.88282979,8.137912853,144.8795031,33.6821032
98,0.22227,9474.304273,2105.853611,31.37419072,6.578812616,102.9966733,25.54419035
99,0.23736,7368.450663,1748.975449,23.01948052,5.154626317,71.6224826,18.96537773
100,0.2581,5619.475213,1450.386553,16.56186474,4.03265782,48.60300208,13.81075142
101,0.28068,4169.088661,1170.179805,11.59174288,3.069406029,32.04113734,9.778093595
102,0.30562,2998.908855,916.5265244,7.86620046,2.267988853,20.44939446,6.708687566
103,0.33315,2082.382331,693.7456736,5.152954976,1.619534859,12.583194,4.440698712
104,0.36369,1388.636657,505.0332659,3.241743421,1.112254401,7.430239023,2.821163853
105,0.39318,883.6033915,347.4151815,1.94599411,0.721816947,4.188495602,1.708909453
106,0.42883,536.18821,229.9335901,1.114026552,0.450686799,2.242501493,0.987092506
107,0.46604,306.2546199,142.7269031,0.600281647,0.263920055,1.12847494,0.536405707
108,0.50427,163.5277169,82.46212178,0.302383385,0.143851764,0.528193293,0.272485652
109,0.54477,81.06559508,44.16210423,0.141415581,0.07267827,0.225809908,0.128633888
110,0.58702,36.90349085,21.6630872,0.060732655,0.033633286,0.084394327,0.055955618
111,1,15.24040365,15.24040365,0.023661672,0.022322332,0.023661672,0.022322332
